wp_number,date,title,author,abstract,program,topics,Asset_Pricing,Children_and_Families
32052,2024-01-22,Tech-Driven Intermediation in the Originate-to-Distribute Model,"Zhiguo He, Sheila Jiang, Douglas Xu","This paper develops a general equilibrium model to examine the role of information technology when intermediaries facilitate the origination and distribution of assets given information asymmetry. Information technology measures the informativeness of asset-quality signals received by intermediaries, who purchase assets produced by originators and then resell them to uninformed investors. Allowing intermediaries to operate has a mixed social welfare effect: Uninformed intermediation can be welfare reducing when adverse selection is severe in the economy, while informed intermediation always improves social welfare.",Asset Pricing,"Microeconomics, General Equilibrium, Economics of Information, Financial Economics, Financial Institutions, Development and Growth, Innovation and R&D",1,0
32053,2024-01-22,"Central Banks, Stock Markets, and the Real Economy","Ricardo J. Caballero, Alp Simsek","This article summarizes empirical research on the interaction between monetary policy and asset markets, and reviews our previous theoretical work that captures these interactions. We present a concise model in which monetary policy impacts the aggregate asset price, which in turn influences economic activity with lags. In this context: (i) the central bank (the Fed, for short) stabilizes the aggregate asset price in response to financial shocks, using large-scale asset purchases if needed (""the Fed put""); (ii) when the Fed is constrained, negative financial shocks cause demand recessions, (iii) the Fed's response to aggregate demand shocks increases asset price volatility, but this volatility plays a useful macroeconomic stabilization role; (iv) the Fed's beliefs about the future aggregate demand and supply drive the aggregate asset price; (v) macroeconomic news influences the Fed's beliefs and asset prices; (vi) more precise news reduces output volatility but heightens asset market volatility; (vii) disagreements between the market and the Fed microfound monetary policy shocks, and generate a policy risk premium.",Asset Pricing,"Macroeconomics, Business Cycles, Money and Interest Rates, Monetary Policy, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32077,2024-01-29,Diminishing Marginal Utility Revisited,"Miles S. Kimball, Daniel Reck, Fudong Zhang, Fumio Ohtake, Yoshiro Tsutsui","How quickly does marginal utility fall with increasing consumption? It depends on the dimension along which we consider concavity of the utility function. This paper estimates the distribution of heterogeneous curvature parameters in individuals’ utility functions from hypothetical choice data, while accounting for survey response error. Types of curvature examined include relative risk aversion, intertemporal substitution, the reciprocal of the altruism elasticity, and a new measure of inequality aversion, which queries how much more a dollar means to a poor family than to a rich family.
Median values of curvature parameters ranging from 0.6 to 13.2. Utility functions are most concave for situations involving altruism, followed by risk aversion, inequality aversion, and intertemporal substitution. Heterogeneity of curvature in the population also varies: altruism is the most heterogeneous, followed by risk aversion, the elasticity of intertemporal substitution, and inequality aversion. Nonetheless, curvature parameters are highly correlated (ρ > .8) over different elicitations within parameter type, and modestly correlated across dimensions in some cases, including inequality aversion and risk aversion (ρ ≈ 0.3), altruism and risk aversion (ρ ≈ 0.3), and altruism and inequality aversion (ρ ≈ 0.14).",Asset Pricing,"Microeconomics, Behavioral Economics, Households and Firms",1,0
32092,2024-01-29,Convenience Yields and Exchange Rate Puzzles,"Zhengyang Jiang, Arvind Krishnamurthy, Hanno Lustig, Jialu Sun","We introduce safe asset demand for dollar-denominated bonds into a tractable incomplete-market model of exchange rates. The convenience yield on dollar bonds enters as a stochastic wedge in the Euler equations for exchange rate determination. This wedge reduces the pass-through from marginal utility shocks to exchange rate movements, resolving the exchange rate volatility puzzle. The wedge also exposes the dollar's exchange rate to convenience yield shocks, giving rise to exchange rate disconnect from macro fundamentals and a quantitatively important driver of currency risk premium. This endogenous exposure identifies a novel safe-asset-demand channel by which the Fed's QE impacts the dollar and long-term U.S. Treasury bond yields.",Asset Pricing,"International Economics, International Finance, Financial Economics, Financial Markets",1,0
32093,2024-01-29,Cash Transfers for Child Development: Experimental Evidence from India,"Jeffrey Weaver, Sandip Sukhtankar, Paul Niehaus, Karthik Muralidharan","Despite significant economic growth, child development outcomes in India remain poor. Using a large-scale experiment in which randomly-selected mothers receive cash transfers for the first two years of their child's life, we examine the relationship between income and child development in the Indian state of Jharkhand. Treated mothers and children experienced large increases in nutritional intake, including increases in caloric consumption of 9.6-15.5%. However, child anthropometric indicators improved only in areas with low rates of open defecation. These results suggest that poor sanitation is a key explanatory factor for the poor translation of increases in income into child growth in India.",Children and Families,"Microeconomics, Households and Firms, Health, Education, and Welfare, Health, Poverty and Wellbeing, Development and Growth, Development, Environmental and Resource Economics, Environment",0,1
32096,2024-01-29,Intra-Household Insurance and the Intergenerational Transmission of Income Risk,"Francesco Agostinelli, Domenico Ferraro, Xincheng Qiu, Giuseppe Sorrenti","This paper studies the mechanisms and the extent to which parental wage risk passes through to children's skill development. Through a quantitative dynamic labor supply model in which two parents choose whether to work short or long hours or not work at all, time spent with children, and child-related expenditures, we find that income risk impacts skill accumulation, permanently lowering children's skill levels. To the extent that making up for cognitive skill losses during childhood is hard--as available evidence suggests--uninsurable income risk can negatively impact the labor market prospects of future generations.",Children and Families,"Microeconomics, Households and Firms, Labor Economics, Demography and Aging, Labor Supply and Demand",0,1
32103,2024-02-05,Effects of Childhood Cognitive and Behavioral Disabilities on Adult Economic Outcomes,"Hope Corman, Kelly Noonan, Nancy Reichman","Developmental disabilities are not rare among U.S. children and rates have been increasing in recent decades. The increases have been driven by cognitive and behavioral disorders. While some studies have investigated the effects of specific childhood conditions, particularly ADHD, on adult economic outcomes, none has considered the overall effects of cognitive and behavioral disabilities. We address this key gap by rigorously estimating effects of cognitive and behavioral impairments in childhood, which account for the bulk and increasing share of child disability cases in the U.S., on a set of salient adult economic outcomes. Using the National Longitudinal Survey of Youth 79 Child Supplement, we estimate the effects of low cognitive test scores and high behavior problem scores in childhood on receipt of disability benefits, educational attainment, employment, wages, and access to transportation and credit in adulthood, using household fixed effects models to control for potentially confounding factors that are unobserved. We find significant effects in the expected direction for both cognitive and behavioral childhood disabilities on all outcomes. The findings have important implications for well-being over the life course for a non-trivial share of the U.S. population and their families, government expenditures, and public policy.",Children and Families,"Health, Education, and Welfare, Health, Education, Poverty and Wellbeing, Labor Economics, Demography and Aging, Labor Supply and Demand",0,1
32125,2024-02-05,The Unreasonable Effectiveness of Algorithms,"Jens Ludwig, Sendhil Mullainathan, Ashesh Rambachan","We calculate the social return on algorithmic interventions (specifically their Marginal Value of Public Funds) across multiple domains of interest to economists—regulation, criminal justice, medicine, and education. Though these algorithms are different, the results are similar and striking. Each one has an MVPF of infinity: not only does it produce large benefits, it provides a “free lunch.” We do not take these numbers to mean these interventions ought to be necessarily scaled, but rather that much more R&D should be devoted to developing and carefully evaluating algorithmic solutions to policy problems.",Children and Families,"Econometrics, Estimation Methods, Microeconomics, Welfare and Collective Choice, Public Economics, Public Goods, Health, Education, and Welfare, Other, Law and Economics",0,1
32128,2024-02-12,The Role of International Financial Integration in Monetary Policy Transmission,"Jing Cynthia Wu, Yinxi Xie, Ji Zhang","Motivated by empirical evidence, we propose an open-economy New Keynesian model with financial integration that allows financial intermediaries to hold foreign long-term bonds. We find financial integration features an amplification for a domestic monetary policy shock and a negative spillover for a foreign shock. These results hold for conventional and unconventional monetary policies. Among various aspects of financial integration, the bond duration plays a major role, and our results cannot be replicated by a standard model of perfect risk sharing between households. Finally, we observe an important interaction between financial integration and trade openness, and demonstrate trade alone does not have an economically meaningful impact on monetary policy transmission.",Asset Pricing,"Macroeconomics, Money and Interest Rates, Monetary Policy, International Economics, International Finance",1,0
32129,2024-02-12,Exorbitant Privilege and the Sustainability of US Public Debt,"Jason Choi, Duong Q. Dang, Rishabh Kirpalani, Diego J. Perez","We study the extent to which the perceived cost of losing the exorbitant privilege the US holds in global safe asset markets sustains the safety of its public debt. Our findings indicate that the loss of this special status in the event of a default significantly augments the debt capacity for the US. Debt levels would be up to 30% lower if the US did not have this special status. Most of this extra debt capacity arises from the loss of the convenience yield on US Treasuries, which makes debt more expensive following its loss and provides strong incentives to repay debt.",Asset Pricing,"International Economics, International Finance",1,0
32132,2024-02-12,Making a Song and Dance About It: The Effectiveness of Teaching Children Vocabulary with Animated Music Videos,"Ariel Kalil, Susan Mayer, Philip Oreopoulos, Rohen Shah","Programs that engage young children in movement and song to help them learn are popular but experimental evidence on their impact is sparse. We use an RCT to evaluate the effectiveness of Big Word Club (BWC), a classroom program that uses music and dance videos for 3-5 minutes per day to increase vocabulary. We conducted a field experiment with 818 preschool and kindergarten students in 47 schools in three U.S. states. We find that treated students scored higher on a test of words targeted by the program (0.30 SD) after four months of use and this effect persisted for two months.",Children and Families,"Microeconomics, Behavioral Economics, Health, Education, and Welfare, Education, Labor Economics, Demography and Aging, Development and Growth, Development",0,1
32137,2024-02-12,Monetary Policy Wedges and the Long-term Liabilities of Households and Firms,"Jules H. van Binsbergen, Marco Grotteria","We examine the transmission of monetary policy shocks to the long-duration liabilities of households and firms using high-frequency variation in 10-year swap rates around FOMC announcements. We find that four weeks after the announcement mortgage rates move one-for-one with 10-year swap rates, leaving little explanatory power for mortgage concentration, bank market power, or credit risk. Variation in credit risk does materially affect monetary policy transmission to corporate bonds. Expected future short rates and term premia play a significant role in driving both mortgage rates and corporate bond yields, which explains the Federal Reserve’s increased focus on these quantities.",Asset Pricing,"Macroeconomics, Money and Interest Rates, Monetary Policy, Financial Economics, Financial Institutions",1,0
32147,2024-02-19,Misallocation and Asset Prices,"Winston Wei Dou, Yan Ji, Di Tian, Pengfei Wang","We develop an endogenous growth model with heterogeneous firms facing financial frictions, where misallocation emerges explicitly as a crucial endogenous state variable and plays a significant role in driving economic growth through the valuation channel. The model illustrates that transient macroeconomic shocks affecting misallocation can yield persistent effects on aggregate growth. In equilibrium, slow-moving misallocation endogenously generates long-run uncertainty about economic growth by distorting innovation decisions. When agents hold recursive preferences, misallocation-driven low-frequency growth fluctuations result in substantial risk premia in capital markets and large losses in consumer welfare. Employing a misallocation measure motivated by the model, we substantiate our findings with empirical evidence showing that misallocation effectively captures low-frequency fluctuations in both aggregate growth and asset returns.",Asset Pricing,"Industrial Organization, Market Structure and Firm Performance, Development and Growth, Innovation and R&D, Growth and Productivity",1,0
32149,2024-02-19,A Cognitive Foundation for Perceiving Uncertainty,"J. Aislinn Bohren, Josh Hascher, Alex Imas, Michael Ungeheuer, Martin Weber","We propose a framework where perceptions of uncertainty are driven by the interaction between cognitive constraints and the way that people learn about it—whether information is presented sequentially or simultaneously. People can learn about uncertainty by observing the distribution of outcomes all at once (e.g., seeing a stock return distribution) or sampling outcomes from the relevant distribution sequentially (e.g., experiencing a series of stock returns). Limited attention leads to the overweighting of unlikely but salient events—the dominant force when learning from simultaneous information—whereas imperfect recall leads to the underweighting of such events—the dominant force when learning sequentially. A series of studies show that, when learning from simultaneous information, people are overoptimistic about and are attracted to assets that mostly underperform, but sporadically exhibit large outperformance. However, they overwhelmingly select more consistently outperforming assets when learning the same information sequentially, and this is reflected in beliefs. The entire 40-percentage point preference reversal appears to be driven by limited attention and memory; manipulating these factors completely eliminates the effect of the learning environment on choices and beliefs, and can even reverse it.",Asset Pricing,"Microeconomics, Behavioral Economics, Financial Economics, Behavioral Finance",1,0
32159,2024-02-19,On Digital Currencies,Harald Uhlig,"I discuss private and central-bank-issued digital currencies, summarizing my prior research. I argue that prices of private digital currencies such as bitcoin follow random walks or, more generally, risk-adjusted martingales. For central bank digital currencies, I argue that they enhance the “CBDC trilemma” facing a central bank: out of the three objectives, price stability, efficiency, and monetary trust, it can achieve at most two.",Asset Pricing,"Macroeconomics, Business Cycles, Money and Interest Rates, Monetary Policy, Financial Economics, Portfolio Selection and Asset Pricing, Financial Institutions",1,0
32160,2024-02-19,The Long-term Effects of Inflation on Inflation Expectations,"Fabio Braggion, Felix von Meyerinck, Nic Schaub, Michael Weber","We study the long-term effects of inflation surges on inflation expectations. German households living in areas with higher local inflation during the hyperinflation of the 1920s expect higher inflation today, after partialling out determinants of historical inflation and current inflation expectations . Our evidence points towards transmission of inflation experiences from parents to children and through collective memory. Differential historical inflation also modulates the updating of expectations to current inflation, the response to economic policies affecting inflation, and financial decisions. We obtain similar results for Polish households residing in formerly German areas. Overall, our findings are consistent with inflationary shocks having a long-lasting impact on attitudes towards inflation.",Asset Pricing,"Microeconomics, Households and Firms, Macroeconomics, Business Cycles, Financial Economics, Behavioral Finance, History, Macroeconomic History",1,0
32161,2024-02-19,ChatGPT and Corporate Policies,"Manish Jha, Jialin Qian, Michael Weber, Baozhong Yang","We create a firm-level ChatGPT investment score, based on conference calls, that measures managers' anticipated changes in capital expenditures. We validate the score with interpretable textual content and its strong correlation with CFO survey responses. The investment score predicts future capital expenditure for up to nine quarters, controlling for Tobin's q and other determinants, implying the investment score provides incremental information about firms' future investment opportunities. The investment score also separately forecasts future total, intangible, and R&D investments. High-investment-score firms experience significant negative future abnormal returns. We demonstrate ChatGPT's applicability to measure other policies, such as dividends and employment.",Asset Pricing,"Econometrics, Data Collection, Macroeconomics, Consumption and Investment, Financial Economics, Financial Markets, Corporate Finance, Development and Growth, Innovation and R&D",1,0
32165,2024-02-26,Early Childhood Intervention for the Poor: Long Term Outcomes,"Alison Andrew, Orazio Attanasio, Britta Augsburg, Lina Cardona-Sosa, Monimalika Day, Michele Giannola, Sally Grantham-McGregor, Pamela Jervis, Costas Meghir, Marta Rubio-Codina","Early childhood interventions aim to promote skill acquisition and poverty reduction. While their short-term success is well established, research on longer-term effectiveness is scarce, particularly in LDCs. We present results of a randomized scalable intervention in India, that affected developmental outcomes in the short-term, including cognition (0.36 SD p=0.005), receptive language (0.26 SD p=0.03) and expressive language (0.21 SD p=0.03). After 4.5 years, when the children were on average 7.5 years old, IQ was no longer affected, but impacts persisted relative to the control group in numeracy (0.330 SD, p=0.007) and literacy (0.272 SD, p=0.064) driven by the most disadvantaged.",Children and Families,"Health, Education, and Welfare, Education, Poverty and Wellbeing, Labor Economics, Demography and Aging, Development and Growth, Development",0,1
32177,2024-02-26,Diversity and Discrimination in the Classroom,"Dan Anderberg, Gordon B. Dahl, Cristina Felfe, Helmut Rainer, Thomas Siedler","What makes diversity unifying in some settings but divisive in others? We examine how the mixing of ethnic groups in German schools affects intergroup cooperation and trust. We leverage the quasi-random assignment of students to classrooms within schools to obtain variation in the type of diversity that prevails in a peer group. We combine this with a large-scale, incentivized lab-in-field-experiment based on the investment game, allowing us to assess the in-group bias of native German students in their interactions with fellow natives (in-group) versus immigrants (out-group). We find in-group bias peaks in culturally polarized classrooms, where the native and immigrant groups are both large, but have different religious or language backgrounds. In contrast, in classrooms characterized by non-cultural polarization, fractionalization, or a native supermajority, there are significantly lower levels of own-group favoritism. In terms of mechanisms, we find empirical evidence that culturally polarized classrooms foster negative stereotypes about immigrants' trustworthiness and amplify taste-based discrimination, both of which are costly and lead to lower payouts. In contrast, accurate statistical discrimination is ruled out by design in our experiment. These findings suggest that extra efforts are needed to counteract low levels of inclusivity and trust in culturally polarized environments.",Children and Families,"Labor Economics, Demography and Aging",0,1
32184,2024-03-04,Finance in a Time of Disruptive Growth,"Nicolae B. Gârleanu, Stavros Panageas","We propose a unified theory of asset price determination encompassing both “conventional” and “alternative” asset classes (private equity, real estate, etc.). The model features disruption of old by young firms and skewness in the distribution of innovative rents among the young innovators. The relative size of asset classes, the dynamics of rich investors’ wealth, and the returns of the various asset classes are jointly determined in equilibrium. Besides explaining the observed patterns of returns across asset classes, we analyze the theoretical properties of the most widely used performance-evaluation measure for alternative investments. We also provide connections between the growth of alternative investments, the dispersion of returns across investors, and the turnover inside the ranks of wealthy individuals.",Asset Pricing,"Financial Economics, Portfolio Selection and Asset Pricing, Financial Institutions, Development and Growth, Growth and Productivity",1,0
32186,2024-03-04,Friends with Benefits: Social Capital and Household Financial Behavior,"Brad Cannon, David Hirshleifer, Joshua Thornton","Using friendship data from Facebook, we study the effects of three aspects of social capital on household financial behavior. We find that the most important measure of social capital in explaining stock market and saving participation is Economic Connectedness, defined as the fraction of one’s social network with high socioeconomic status. One standard-deviation greater Economic Connectedness is associated with 2.9% greater stock market participation and 5.0% greater saving participation. Compared to Cohesiveness or Civic Engagement, Economic Connectedness explains more than 6 times the variation in stock market participation and more than 4 times the variation in saving participation. Using data on nonlocal friendships, we provide evidence supporting a causal link between household financial behavior and the income of one's friends. Furthermore, we provide evidence that greater opportunities for social interaction with wealthy individuals is associated with increased stock market and saving participation.",Asset Pricing,"Microeconomics, Households and Firms, Welfare and Collective Choice, Financial Economics, Behavioral Finance, Health, Education, and Welfare, Poverty and Wellbeing, Development and Growth, Development",1,0
32198,2024-03-04,Uncertainty or Frictions? A Quantitative Model of Scarce Safe Assets,"Cosmin L. Ilut, Pavel Krivenko, Martin Schneider","Why did the real interest rate decline and the equity premium increase over the last 30 years? This paper assesses the role of uncertainty and credit market frictions. We quantify a model with heterogeneous households using data on asset prices and macro aggregates, as well as on households' debt and equity positions. We find that compensation for both uncertainty and frictions is reflected in asset prices. Moreover, a secular increase in frictions is important to understand jointly the decline in real rate and the relative scarcity of debt. Modeling uncertainty as ambiguity allows for tractable characterization of asset premia and precautionary savings effects in steady state.",Asset Pricing,"Macroeconomics, Consumption and Investment, Money and Interest Rates, Financial Economics, Financial Markets",1,0
32199,2024-03-04,Why Survey-Based Subjective Expectations are Meaningful and Important,"Francesco D’Acunto, Michael Weber","For decades, households' subjective expectations elicited via surveys have been considered meaningless because they often differ substantially from the forecasts of professionals and ex-post realizations. In sharp contrast, the literature we review shows household characteristics and the ways in which households collect and process economic information help us understand previously-considered puzzling facts about their subjective expectations. In turn, subjective expectations contribute to explain heterogeneous consumption, saving, investment, and debt choices as well as different reactions by similar households to the same monetary and fiscal policy measures. Matching microdata on households' characteristics with the price signals the same households observe, their subjective expectations, and their real-world economic decisions is crucial to establishing these facts. Our growing understanding of households' subjective expectations inspires several theoretical and empirical research directions and begets the design of innovative and more effective policy instruments.",Asset Pricing,"Econometrics, Experimental Design, Microeconomics, Households and Firms, Economics of Information, Macroeconomics, Business Cycles, Monetary Policy, Financial Economics, Portfolio Selection and Asset Pricing",1,0
32202,2024-03-04,Globalization and Profitability of US Firms: The Role of Intangibles,"Bullipe R. Chintha, Ravi Jagannathan, Sri S. Sridhar","China's admission into the WTO in 2001 heralded a new era of globalization, increasing both import competition in domestic markets and foreign opportunities for US firms. In the aggregate, the average annual profitability of US public firms during the post globalization period (2003-2019) increased by 11.5% of the corresponding pre-globalization period (1984-2002) profitability. This increase in overall aggregate profitability was primarily driven by foreign profitability increasing by 47.4% for firms in the S&P 500 index, which are larger and have more intangible assets created by R&D and SG&A expenditures. In contrast, following globalization, the average aggregate domestic profitability of US firms remained flat, and firms employed more capital to generate sales. Firms with higher intangible assets benefited more from globalization.",Asset Pricing,"International Economics, International Factor Mobility, International Finance, Financial Economics, Portfolio Selection and Asset Pricing, Corporate Finance, Industrial Organization, Market Structure and Firm Performance, Firm Behavior",1,0
32204,2024-03-04,The Multigenerational Impact of Children and Childcare Policies,"Sencer Karademir, Jean-William P. Laliberté, Stefan Staubli","This paper examines the multigenerational impact of children and whether the public provision of formal childcare lessens the earnings and employment impacts of children. We find that the arrival of a firstborn reduces employment and earnings of mothers and employment of grandmothers. Studying a universal childcare program in Quebec, we find formal childcare increases the employment rates of mothers, as well as that of grandmothers to a lesser extent. Examining heterogeneity of the program's impact across Census Divisions, we find a negative correlation between the positive effects on mothers' employment and the pre-policy supply of informal childcare by grandmothers.",Children and Families,"Public Economics, Taxation, Labor Economics, Demography and Aging, Labor Supply and Demand",0,1
32210,2024-03-11,Portfolio Flows and Household Portfolios,"Daniel Marcel te Kaat, Chang Ma, Alessandro Rebucci","In this paper, we show that cross-border portfolio flows around the peak of the European Crisis induced households to rebalance their portfolios toward housing. Estimating difference-in-differences regressions around Draghi's “Whatever It Take” speech in July 2012 with household data from the ECB's Household Finance and Consumption Survey, we find that portfolio inflows induce households with larger ex-ante bond and equity shares to rebalance more strongly toward housing. The effect is not driven by higher pre-treatment access to credit or higher credit growth during the treatment period and is stronger for wealthier and less risk-averse households.",Asset Pricing,"International Economics, International Finance, Financial Economics, Regional and Urban Economics",1,0
